,type,n_samples,n_test,n_features,time,accuracy,F1
0,standard,10000,5000,2,-42.588182,72.82,0.7269439421338155
1,EBR,10000,5000,2,-39.599303,72.8,0.7266881028938907
2,CDRM,10000,5000,2,-45.345719,72.88,0.7279293739967897
3,EBR+CDRM,10000,5000,2,-43.321899,72.86,0.7277833500501505
4,perceptron,10000,5000,2,-1.317268,60.74,0.4484405731947176
5,standard,10000,5000,5,-78.918285,97.8,0.9779647435897436
6,EBR,10000,5000,5,-48.275973,97.8,0.9779735682819383
7,CDRM,10000,5000,5,-76.000582,97.8,0.9779647435897436
8,EBR+CDRM,10000,5000,5,-42.593823,97.78,0.9777688764269978
9,perceptron,10000,5000,5,-1.349121,97.2,0.9723756906077349
10,standard,10000,5000,10,-146.537787,99.96000000000001,0.9996001599360256
11,EBR,10000,5000,10,-52.888567,99.96000000000001,0.9996001599360256
12,CDRM,10000,5000,10,-150.196316,99.96000000000001,0.9996001599360256
13,EBR+CDRM,10000,5000,10,-52.376667,99.96000000000001,0.9996001599360256
14,perceptron,10000,5000,10,-0.196352,99.96000000000001,0.9996
15,standard,10000,5000,100,-27.26266,100.0,1.0
16,EBR,10000,5000,100,-16.199421,100.0,1.0
17,CDRM,10000,5000,100,-27.842032,100.0,1.0
18,EBR+CDRM,10000,5000,100,-17.199361,100.0,1.0
19,perceptron,10000,5000,100,-0.110723,99.98,0.9997999599919984
