,type,n_samples,n_test,time,accuracy,F1
0,standard,1000,500,-3.197476,96.39999999999999,0.964
1,EBR,1000,500,-1.818334,96.39999999999999,0.964
2,CDRM,1000,500,-3.376208,96.39999999999999,0.964
3,CDRM+EBR,1000,500,-2.73395,96.39999999999999,0.964
4,perceptron,1000,500,-0.084553,96.6,0.96579476861167
5,standard,10000,5000,-24.970326,96.78,0.9677806684010406
6,EBR,10000,5000,-16.065514,96.78,0.9677806684010406
7,CDRM,10000,5000,-25.540335,96.8,0.9679871948779513
8,CDRM+EBR,10000,5000,-18.068756,96.78,0.9677806684010406
9,perceptron,10000,5000,-0.494703,95.88,0.9576480263157894
10,standard,100000,50000,-670.584803,96.298,0.9630236321141054
11,EBR,100000,50000,-785.264527,96.298,0.9630236321141054
12,CDRM,100000,50000,-1144.907414,96.298,0.9630236321141054
13,CDRM+EBR,100000,50000,-369.044577,96.298,0.9630236321141054
14,perceptron,100000,50000,-155.668675,94.884,0.9507679279417991
